type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/OBJECTID,properties/size,properties/id,properties/geo_0,properties/geo_1,url,properties/boost,properties/title,properties/country
Feature,1,Point,-117.78535499999998,33.54272000000003,1,1,dM5tFD0M,-117.785355,33.54272,https://radio.garden/visit/laguna-beach-ca/dM5tFD0M,FALSE,Laguna Beach CA,United States
Feature,2,Point,-117.68610399999994,33.646942000000024,2,1,SpisAO9Y,-117.686104,33.646942,https://radio.garden/visit/lake-forest-ca/SpisAO9Y,FALSE,Lake Forest CA,United States
Feature,3,Point,-117.37948599999999,33.19587000000007,3,2,YVG98PFm,-117.379486,33.19587,https://radio.garden/visit/oceanside-ca/YVG98PFm,FALSE,Oceanside CA,United States
Feature,4,Point,-117.18529499999994,33.69714700000003,4,1,2cCPtPgW,-117.185295,33.697147,https://radio.garden/visit/menifee-ca/2cCPtPgW,FALSE,Menifee CA,United States
Feature,5,Point,-117.16108999999994,32.71573600000005,5,14,Ho58GDOX,-117.16109,32.715736,https://radio.garden/visit/san-diego-ca/Ho58GDOX,FALSE,San Diego CA,United States
Feature,6,Point,-117.14835999999997,33.49364000000003,6,1,nMXOyAJn,-117.14836,33.49364,https://radio.garden/visit/temecula-ca/nMXOyAJn,FALSE,Temecula CA,United States
Feature,7,Point,-117.03824599999996,32.514946000000066,7,14,njGwJTgr,-117.038246,32.514946,https://radio.garden/visit/tijuana/njGwJTgr,FALSE,Tijuana,Mexico
Feature,8,Point,-116.67417999999998,33.55526700000007,8,1,6kWJDkw0,-116.67418,33.555267,https://radio.garden/visit/anza-ca/6kWJDkw0,FALSE,Anza CA,United States
Feature,9,Point,-116.63469999999995,32.568584000000044,9,1,fcUSqoWB,-116.6347,32.568584,https://radio.garden/visit/tecate/fcUSqoWB,FALSE,Tecate,Mexico
Feature,10,Point,-116.59997999999996,31.829882000000055,10,5,oIcIiARs,-116.59998,31.829882,https://radio.garden/visit/ensenada/oIcIiARs,FALSE,Ensenada,Mexico
Feature,11,Point,-116.46680499999997,33.78054000000003,11,2,1eXmtJAO,-116.466805,33.78054,https://radio.garden/visit/cathedral-city-ca/1eXmtJAO,FALSE,Cathedral City CA,United States
Feature,12,Point,-116.37445999999994,33.722244000000046,12,1,DjYjOuCF,-116.37446,33.722244,https://radio.garden/visit/palm-desert-ca/DjYjOuCF,FALSE,Palm Desert CA,United States
Feature,13,Point,-116.31000999999998,33.663357000000076,13,1,r3rhpkJy,-116.31001,33.663357,https://radio.garden/visit/la-quinta-ca/r3rhpkJy,FALSE,La Quinta CA,United States
Feature,14,Point,-116.17389999999995,33.680300000000045,14,1,XNABIE6J,-116.1739,33.6803,https://radio.garden/visit/coachella-ca/XNABIE6J,FALSE,Coachella CA,United States
Feature,15,Point,-115.45225999999997,32.624540000000025,15,6,3cr0A0Mr,-115.45226,32.62454,https://radio.garden/visit/mexicali/3cr0A0Mr,FALSE,Mexicali,Mexico
Feature,16,Point,-114.77170999999998,32.45189000000005,16,1,1gGV6QCj,-114.77171,32.45189,https://radio.garden/visit/san-luis-rio-colorado/1gGV6QCj,FALSE,San Luis Río Colorado,Mexico
Feature,17,Point,-114.62768999999997,32.69265000000007,17,5,tf0S4EWr,-114.62769,32.69265,https://radio.garden/visit/yuma-az/tf0S4EWr,FALSE,Yuma AZ,United States
Feature,18,Point,-113.53117999999995,31.32682200000005,18,1,uZr1Hzys,-113.53118,31.326822,https://radio.garden/visit/puerto-penasco/uZr1Hzys,FALSE,Puerto Peñasco,Mexico
Feature,19,Point,-112.16161999999997,30.71445700000004,19,1,nu0F8ftc,-112.16162,30.714457,https://radio.garden/visit/caborca/nu0F8ftc,FALSE,Caborca,Mexico
Feature,20,Point,-110.97140499999995,30.624851000000035,20,3,hA3Uay-E,-110.971405,30.624851,https://radio.garden/visit/magdalena-de-kino/hA3Uay-E,FALSE,Magdalena de Kino,Mexico
Feature,21,Point,-110.93809999999996,31.30118600000003,21,6,WC8rvIE0,-110.9381,31.301186,https://radio.garden/visit/nogales/WC8rvIE0,FALSE,Nogales,Mexico
Feature,22,Point,-110.93424999999996,31.340378000000044,22,2,L1WW1o1C,-110.93425,31.340378,https://radio.garden/visit/nogales-az/L1WW1o1C,FALSE,Nogales AZ,United States
Feature,23,Point,-110.92647599999998,32.221745000000055,23,13,vsiqXOYc,-110.926476,32.221745,https://radio.garden/visit/tucson-az/vsiqXOYc,FALSE,Tucson AZ,United States
Feature,24,Point,-110.28917999999999,30.989765000000034,24,3,YuBBpDft,-110.28918,30.989765,https://radio.garden/visit/cananea/YuBBpDft,FALSE,Cananea,Mexico
Feature,25,Point,-110.27727999999996,31.54550000000006,25,1,SHsetBne,-110.27728,31.5455,https://radio.garden/visit/sierra-vista-az/SHsetBne,FALSE,Sierra Vista AZ,United States
Feature,26,Point,-109.92840599999994,31.448154000000045,26,2,rgjtbVuK,-109.928406,31.448154,https://radio.garden/visit/bisbee-az/rgjtbVuK,FALSE,Bisbee AZ,United States
